Var1_1 Var1_2 Var1_3 Var1_4
1 12.5663706143592 4.18879020478639 3
1.05263157894737 13.9239563594007 4.88559872259675 2.85
1.10526315789474 15.3511618862393 5.65569122124606 2.71428571428571
1.15789473684211 16.8479871948749 6.50273189977628 2.59090909090909
1.21052631578947 18.4144322853075 7.43038495722934 2.47826086956522
1.26315789473684 20.0504971575371 8.44231459264719 2.375
1.31578947368421 21.7561818115637 9.54218500507178 2.28
1.36842105263158 23.5314862473873 10.7336603935451 2.19230769230769
1.42105263157895 25.3764104650079 12.020404957109 2.11111111111111
1.47368421052632 27.2909544644255 13.4060828948055 2.03571428571429
1.52631578947368 29.2751182456401 14.8943584056765 1.96551724137931
1.57894736842105 31.3289018086517 16.488895688764 1.9
1.63157894736842 33.4523051534603 18.19335894311 1.83870967741936
1.68421052631579 35.6453282800659 20.0114123677563 1.78125
1.73684210526316 37.9079711884685 21.9467201617449 1.72727272727273
1.78947368421053 40.2402338786682 24.0029465241178 1.67647058823529
1.84210526315789 42.6421163506648 26.183755653917 1.62857142857143
1.89473684210526 45.1136186044584 28.4928117501843 1.58333333333333
1.94736842105263 47.654740640049 30.9337790119617 1.54054054054054
2 50.2654824574367 33.5103216382911 1.5
